price,sqft,waterfront,view
650000,2950,0,wood
2.00E+06,3050,0,city
1.35E+06,2753,1,mountain
951000,3250,0,city
650000,2150,0,wood
437500,2320,0,mountain
329950,2080,0,mountain
480000,3230,0,wood
660000,2400,0,mountain
445000,2100,0,mountain
2.25E+06,5180,0,wood
269950,1950,0,mountain
1.10E+06,4090,0,mountain
1.51E+06,3300,0,wood
1.07E+06,3900,0,wood
655000,1450,1,city
472000,4410,0,mountain
480000,1030,0,mountain
2.40E+06,3650,1,city
592500,1420,0,mountain
369900,760,1,city
2.90E+06,5050,0,mountain
2.05E+06,3830,0,mountain
630000,2950,0,mountain
550000,1970,0,wood
267500,1590,0,mountain
3.08E+06,4550,1,city
834000,2370,0,mountain
2.38E+06,3650,0,city
